date,price,1,2,3,4,5,6,7,8,9,10,11,12,13
2011-03-18,0.7422545454545454,-0.03372909090908971,-0.05372636363636418,-0.07233763636363566,7.611373916138753e-05,-0.06387662317003884,-0.07386544179522314,-0.0452049877350339,0.07241375010279705,0.11761873783783094,-0.009988818625184304,-0.030147532260949128,-0.04013635088613343,-0.009988818625184304
2011-03-19,0.6954545454545454,-0.05691090909090779,-0.09148181818181877,-0.1153110909090902,-0.04975792151130254,-0.10013599239172588,-0.11288057399893836,-0.044736542466017104,0.06555316939778766,0.11028971186380476,-0.01274458160721248,-0.04322508330081809,-0.05596966490803057,-0.01274458160721248
2011-03-20,0.6737090909090909,-0.05501272727272599,-0.09578909090909149,-0.13127763636363565,-0.07408026288421532,-0.11027369008580712,-0.12594047770651584,-0.046071266028169244,0.05719737347942033,0.10326863950758958,-0.015666787620708722,-0.05526096281308113,-0.07092775043378985,-0.015666787620708722
2011-03-21,0.6899727272727273,-0.020381818181816835,-0.0685227272727279,-0.10647781818181756,-0.06006329256881637,-0.0850567152722913,-0.10260091563066454,-0.04882118810609115,0.04641452561300119,0.09523571371909234,-0.01754420035837323,-0.06467489709047447,-0.0822190974488477,-0.01754420035837323
2011-03-22,0.7354636363636363,0.02809272727272849,-0.013123636363637003,-0.05727454545454502,-0.01743722392317637,-0.03579763416405113,-0.053425489762641165,-0.054299295057962604,0.03983732153136865,0.09413661658933126,-0.017627855598590036,-0.06389036143677962,-0.08151821703536966,-0.017627855598590036
2011-03-23,0.7724636363636364,0.059050909090910264,0.027765454545453983,-0.016336727272726725,0.016529976447881123,0.0010878548039521263,-0.015365780684846175,-0.05703391537881841,0.03286670372060785,0.08990061909942626,-0.0164536354887983,-0.05796305428695814,-0.07441668977575644,-0.0164536354887983
2011-03-24,0.7880727272727271,0.05613636363636476,0.04592181818181751,0.00011309090909128461,0.029292829880162907,0.015106760407019304,0.00022761278957916797,-0.05678903837347071,0.029179738971071623,0.08596877734454234,-0.014879147617440136,-0.04102960322934546,-0.05590875084678559,-0.014879147617440136
2011-03-25,0.8034272727272728,0.04554727272727399,0.060126363636363256,0.014970545454546014,0.041511061791109305,0.027560229112812085,0.014576857661727893,-0.055974845860101596,0.02654051633656329,0.08251536219666489,-0.012983371451084191,-0.017987043614461906,-0.030970415065546097,-0.012983371451084191
2011-03-26,0.7774545454545454,0.002078181818182978,0.03458909090909035,-0.008637818181817747,0.012865013553632343,0.0014363111886466218,-0.010660652182179264,-0.05480819218299415,0.02150283173545009,0.07631102391844424,-0.012096963370825886,-0.0006418706295363563,-0.012738834000362242,-0.012096963370825886
2011-03-27,0.7523090909090908,-0.026436363636362592,0.009250909090908532,-0.02969745454545414,-0.01490557271723969,-0.021451129703757954,-0.03349603522426203,-0.054144184765082204,0.014791881828214448,0.06893606659329665,-0.012044905520504079,0.004985233932604638,-0.007059671587899441,-0.012044905520504079
2011-03-28,0.7263454545454545,-0.04317636363636246,-0.01512181818181857,-0.05056618181818151,-0.04321429627939177,-0.042899074060938513,-0.05562356358570275,-0.05427035077298703,0.0073518855387897375,0.06162223631177677,-0.012724489524764238,0.0002772895754239446,-0.012447199949340293,-0.012724489524764238
2011-03-29,0.7204545454545453,-0.035543636363635334,-0.023512727272727685,-0.05250436363636335,-0.051409750824846445,-0.04414331808973215,-0.057545796867320975,-0.053284342867848666,0.001094612811516904,0.05437895567936557,-0.013402478777588822,-0.00859968172609682,-0.02200216050368564,-0.013402478777588822
2011-03-30,0.7179090909090908,-0.02098545454545342,-0.030478181818182293,-0.050664363636363396,-0.05568531668755505,-0.04224222286037693,-0.05621439634334324,-0.052071457492354534,-0.005020953051191657,0.04705050444116288,-0.01397217348296631,-0.021256768314923513,-0.03522894179788982,-0.01397217348296631
2011-03-31,0.7132818181818181,-0.01277818181818069,-0.037436363636363934,-0.05158181818181795,-0.06254744841297244,-0.04240573410308435,-0.05691639996611686,-0.05014792121212097,-0.010965630231154488,0.03918229098096648,-0.014510665863032512,-0.029627552284903658,-0.04413821814793617,-0.014510665863032512
2011-04-01,0.7037363636363636,-0.012609090909089793,-0.04380909090909124,-0.0570941818181816,-0.07402822577846413,-0.04700345639626968,-0.06217399279508329,-0.05052564848484831,-0.01693404396028253,0.03359160452456578,-0.015170536398813605,-0.03439436548717989,-0.049564901885993495,-0.015170536398813605
2011-04-02,0.7108999999999999,-0.0023563636363626017,-0.030489090909091354,-0.04673054545454525,-0.06889700778217478,-0.03604555145807786,-0.05146130107320046,-0.04848901212121204,-0.022166462327629533,0.026322549793582506,-0.015415749615122598,-0.03368918782171526,-0.04910493743683786,-0.015415749615122598
2011-04-03,0.7081818181818181,-0.0026199999999990675,-0.02521818181818214,-0.046339999999999604,-0.07363578329237863,-0.03507194915469436,-0.050684032285882696,-0.04612683030303044,-0.027295783292379028,0.018831047010651414,-0.015612083131188337,-0.03245194915469529,-0.04806403228588363,-0.015612083131188337
